"Identifier","Context","Source string","Translation"
"LOCP008LC","Lungfish-Citizen","Please don't kill me, Goggalor!","Будь ласка, не вбивай мене, Окулярозавре!"
"LOCP009LC","Lungfish-Citizen","It's Goggalor! He hates children!","Це Окулярозавр! Він ненавидить дітей!"
"LOCP010LC","Lungfish-Citizen","Hey everyone, here comes Kochamara! No, wait, it's Goggalor. RUN!","Народе, ось і Теромара! А, ні, це Окулярозавр. ТІКАЄМО!"
"LOCP011LC","Lungfish-Citizen","Bullets don't hurt him!","Йому байдуже на кулі!"
"LOCP012LC","Lungfish-Citizen","Why, Goggalor, why?","За що, Окулярозавре, за що?"
"LOCP013LC","Lungfish-Citizen","Nothing can stop him!","Ніщо його не зупинить!"
"LOCP014LC","Lungfish-Citizen","Where are the police?","Куди дивиться поліція?"
"LOCP015LC","Lungfish-Citizen","Go back to your watery hell, Goggalor!","Повертайся у своє водяне пекло, Окулярозавре!"
"LOCP017LC","Lungfish-Citizen","I hate you, Goggalor!","Ненавиджу тебе, Окулярозавре!"
"LOCP018LC","Lungfish-Citizen","Nooooooooooo! Not the natural history museum!","Ні-і-і-і-і! Тільки не природознавчий музей!"
"LOCP019LC","Lungfish-Citizen","Oh no, Goggalor's heading for the orphanage!","О, ні, Окулярозавр іде в напрямку дитбудинку!"
"LOCP020LC","Lungfish-Citizen","It's okay everyone. Goggalor missed the orphanage!","Усе обійшлося, народе. Окулярозавр пройшов повз дитбудинок!"
"LOCP021LC","Lungfish-Citizen","No wait he's still heading for the orphanage!","А хоча ні, він досі йде до дитбудинку!"
"LOCP022LC","Lungfish-Citizen","Oh my god, the orphanage!","Боже мій, дитбудинок!"
"LOCP023LC","Lungfish-Citizen","Hold on--that wasn't the orphanage.","Чекайте, це був не дитбудинок."
"LOCP024LC","Lungfish-Citizen","Oh no, it was the orphanage--for dogs. It was the puppy orphanage everyone!","О ні, це був притулок для собак. Чуєте, для собак, народе!"
"LOCP025LC","Lungfish-Citizen","No wait--I spoke too fast.","Заждіть, я поспішив з висновками."
"LOCP026LC","Lungfish-Citizen","It was just a mattress factory.","Це була лиш фабрика матраців."
"LOCP027LC","Lungfish-Citizen","Okay, that's not too bad.","Ну, не так вже й погано."
"LOCP028LC","Lungfish-Citizen","Ahhhhh, my mattress factory! I'm ruined!","А-а-а, мою фабрику матраців рознесло вщент! Це кінець!"
"LOCP029LC","Lungfish-Citizen","I love you Goggalor!","Люблю тебе, Окулярозавре!"
"LOCP030LC","Lungfish-Citizen","Good lord, he's impervious to bullets and love!","Боже, його не пробивають ані кулі, ані любов!"
"LOCP031LC","Lungfish-Citizen","Why doesn't the Navy electrocute him?","Чому флот його просто не вб'є струмом?"
"LOCP032LC","Lungfish-Citizen","I don't want to complain, but Kochamara should do something.","Не хочу скаржитися, але Теромарі вже час діяти."
"LOCP033LC","Lungfish-Citizen","Holy smokes, those goggles are five thousand meters tall!","Мати Василева, його окуляри тисяч зо п'ять метрів заввишки!"
"LOCP034LC","Lungfish-Citizen","Oh no. Ohhhhh no. Noooooooo!","О ні. О-о-о-о ні. Ні-і-і-і-і-і-і-і-і-і!"
"LOCP035LC","Lungfish-Citizen","You're lucky we can't own guns, Goggalor!","Тобі пощастило, що нам заборонено мати зброю, Окулярозавре!"
"LOCP036LC","Lungfish-Citizen","We've faced monsters like you before, Goggalor, only much smaller.","Ми вже стикалися з такими монстрами, як ти, Окулярозавре. Але вони були набагато менше."
"LOCP037LC","Lungfish-Citizen","My car!","Моя машина!"
"LOCP038LC","Lungfish-Citizen","My bait shop!","Моя риболовна лавка!"
"LOCP039LC","Lungfish-Citizen","My tank!","Мій танк!"
"LOCP040LC","Lungfish-Citizen","My cheese shop!","Моя сироварня!"
"LOCP041LC","Lungfish-Citizen","My outlet store!","Мій фірмовий магазин!"
"LOCP042LC","Lungfish-Citizen","Gahhhhhhhhh!","А-а-а-а-а-а-а!"
"LOZI001Z1","Zealots-1","Hey! Goggalor! Down here!","Гей! Окулярозавре! Тут, внизу!"
"LOZI002RA","Raz","Excuse me, were you talking to me?","Перепрошую, ви це мені кажете?"
"LOZI003Z1","Zealots-1","Ahhhhhh! Owwwww! My ears!","А-а-а-а-а! О-о-о-ой! Мої вуха!"
"LOZI004RA","Raz","I'm sorry.","Пробачте."
"LOZI005Z1","Zealots-1","Ahhhhhh! Oh my god! Ahhhhhhhh!","А-а-а-а! Боже мій! А-а-а-а-а-а-а-а!"
"LOZI006RA","Raz","Are you okay?","Ви в порядку?"
"LOZI007Z2","Zealots-2","He's dead!","Він здох!"
"LOZI008RA","Raz","Oh jeez, I'm sorry.","Ой, мені шкода."
"LOZI009Z2","Zealots-2","Don't worry, every member of the resistance is prepared to die fighting the tyranny of Kochamara.","Не парся, кожен член руху опору готовий покласти своє тіло в боротьбі зі свавіллям Теромари."
"LOZI010RA","Raz","What's Kochamara?","Хто такий Теромара?"
"LOZI011Z2","Zealots-2","He's a giant monster like you, Goggalor. He brainwashed and enslaved almost everyone in Lungfishopolis.","Він такий же велетень, як і ти, Окулярозавре. Він поневолив та промив мізки майже всім у Дводихополісу."
"LOZI012RA","Raz","That stinks. So hey, have you seen any other humans around here? I'm looking for a girl called Lili.","От гадство. Слухайте, а тут є ще хтось із людей? Я шукаю дівчинку на ім'я Лілі."
"LOZI015Z2","Zealots-2","The government archives might have some information about your young girlfriend, Goggalor.","Може в урядових архівах є якась інфа про твою дівчину, Окулярозавре."
"LOZI016RA","Raz","I don't know if she's really my girlfriend. I mean, I think she--","Ну, я б не сказав, що вона прям моя «дівчина». Тобто, може..."
"LOZI017Z2","Zealots-2","I only meant that she is your friend who is a girl, Goggalor. To access the archives, we must first destroy the broadcast tower Kochamara uses to control the populace.","Я просто вказав на її стать, Окулярозавре. Щоб отримати доступ до архівів, спочатку треба знищити вежу мовлення Теромари, яка зомбує населення."
"LOZI018RA","Raz","Check. I'll go smash that, then.","Прийняв. Піду тоді повалю її."
"LOZI019Z2","Zealots-2","Wait, Goggalor! In order to reach the tower, you'll need to pass through that wall of lasers. But you'll never make it through the lasers without our help.","Чекай, Окулярозавре! Для того, щоб дістатися вежі, доведеться пройти через ту стіну лазерів. Але без нашої допомоги тобі не впоратися."
"LOZI020RA","Raz","So are you gonna start helping soon?","Ну то й коли ви мені допоможете?"
"LOZI021Z2","Zealots-2","First, I need you to do something for the resistance. Punch a hole in that prison and free my comrades!","Спочатку ти маєш допомогти руху опору. Знеси стіну тієї в'язниці та звільни моїх товаришів!"
"LOZI025RA","Raz","Hooyah! Now how about getting me past those gates?","Кі-і-ія! І як же мені подолати ту стіну?"
"LOZI026Z1","Zealots-1","Right. We stole this shield power module from Kochamara. It's too big for any of us to operate, but it should work for you.","Точно. Ми вкрали цей захисний модуль у Теромари. Для нас він завеликий, а тобі буде якраз."
"LOZI027RA","Raz","Hey, is this gonna upset Kochamara and all your little brainwashed neighbors?","Гей, а хіба це не образить Теромару та всіх його промитих підопічних?"
"LOZI028Z1","Zealots-1","Nooo.","Та ні-і-і."
"LOZI029Z2","Zealots-2","I doubt it.","Навряд чи."
"LOZI030Z3","Zealots-3","Uh, no no no.","Е-е, ні-ні-ні."
"LOZI031RA","Raz","So knocking down the prison and then breaking this laser shield thing--nobody's gonna get mad about that and start shooting at me?","Тобто, за знесення в'язниці та вивід з ладу отієї лазерної штуки, НІХТО на мене не обуриться й не почне стріляти?"
"LOZI032Z1","Zealots-1","Nooooo!","Ні-і-і-і-і!"
"LOZI033Z2","Zealots-2","Uhh, maybe one guy would.","Е-е, ну може якийсь один дурбецал."
"LOZI034Z1","Zealots-1","But what is even an entire navy of Lungfish against the might and revolutionary zeal of Goggalor!","Але навіть якщо цілий флот підійметься на вуха, він же нічого не зробить проти могутнього, революційного Окулярозавра!"
"LOZI035RA","Raz","Wait, what Navy?","Заждіть, ФЛОТ?"
"LOZI036Z1","Zealots-1","Meet us at the dam, Goggalor. FOR FREEDOM!","Зустрінемося біля дамби, Окулярозавре. ЗА СВОБОДУ!"
"LOZM003Z1","Zealots-1","Goggalor, come in! We have commandeered these vessels in your name!","Прийом, Окулярозавре! Ми реквізували ці судна во ім'я тебе!"
"LOZM004Z2","Zealots-2","We can put them in position to help you cross Kochamara Channel, to get to Kochamara Island, and destroy Kochamara Tower!","По нім ти зможеш перетнути Теромарську затоку й дістатися Теромарського острову та знищити Теромарську вежу!"
"LOZM005Z1","Zealots-1","The thing is that, uh, although you have had SEVERAL excellent plans today, Goggalor... We... Uh…","Але... е-е, є нюанс. Хоч ти й БЕЗДОГАННО себе проявив сьогодні, Окулярозавре... Ми... е-е..."
"LOZM006Z2","Zealots-2","Er, we just think it best, uh... to... er… uh…","Е-е, ми тут подумали, що краще нам... е-е..."
"LOZM007Z1","Zealots-1","We've decided to maintain our position out here.","Зайняти позиції о-о-ось тут."
"LOZM008Z2","Zealots-2","Just until you clear the area of all hostiles.","Ми почекаємо, поки ти очистиш територію від ворогів."
"LOZM009Z1","Zealots-1","Yes.","Так-так."
"LOZM010Z2","Zealots-2","For insurance reasons, Goggalor.","Медичне страхування нині дороге, Окулярозавре."
"LOZM011Z1","Zealots-1","Yes! That, and for Freedom!","Ага! Прям як і свобода!"
"LOZJ001TO","System","Terror in Lungfishopolis","Терор у Дводихополісі"
"LOAA001CO","Coach","The peaceful city of Lungfishopolis is under attack tonight by a hideous, gigantic monster the terrified citizens have named, ""Goggalor.""","Сьогодні, наше мирне місто Дводихополіс було атаковано огидним, гігантським чудовиськом, яке нажахані мешканці прозвали «Окулярозавром»."
"LOAA002CO","Coach","The navy has responded quickly and decisively, dispatching its entire tank division to neutralize the creature.","Реакція флоту була швидка й рішуча. Було розгорнуто та відправлено цілу танкову дивізію для нейтралізації істоти."
"LOAA003CO","Coach","Soon, authorities say, everything will return to normal or better.","Влада стверджує, що скоро все повернеться до норми. Або стане навіть краще."
"LOAA004CO","Coach","(Kidnapping human children is good.)","(Викрадати дітей — це добре.)"
"LOZJ000TO","System","Goggalor: On Drugs?","Окулярозавр — наркоман?"
"LOAD001CO","Coach","Well, things have gotten a little embarrassing for Goggalor. Recently surfaced information has strongly linked the previously intimidating monster with common lowlife criminals.","Схоже, Окулярозавр ще бридкіший, ніж ми думали. За попередніми даними, це чудовисько має прямі зв'язки з бандою низькосортних злочинців."
"LOAD002CO","Coach","Earlier tonight, Goggalor broke some of his jailhouse cronies out of the slammer so they could enjoy a night on the town, popping pills, and soliciting inexpensive call girls.","Сьогодні Окулярозавр витягнув з тюрми деяких своїх спільників, щоб вони цією ніччю могли порозважатися, поковтати пігулки та викликати недорогих дівчат."
"LOAD003CO","Coach","Well, they're in for one nasty hangover! Our beloved Navy has come up with a high-tech new invention: trucks armed with HYPER-ELECTRICITY!!!","Що ж, на їхнє нещастя, вечірка згортається! Бо наш бравий флот вивів у поле новий винахід: ГІПЕРЕЛЕКТРИЧНІ вантажівки!!!!"
"LOAD004CO","Coach","(When kidnapping children, do not harm the brains.)","(Викрадаючи дітей, не пошкодьте мізки.)"
"LOZJ002TO","System","No Quarter from Goggalor","Пощади Окулярозавру не буде"
"LOAE001CO","Coach","The destruction and terror continue as the hulking, godless child-beast carves a bloody swath through our helpless city.","Терор та беззаконня продовжуються, поки ця незграбна, безбожна звірина лишає кривавий слід, повзаючи крізь наше місто."
"LOAE002CO","Coach","Our noble, all-volunteer Navy has been surprised only by the senseless lust for mayhem that seeps from the twisted, black lump of a heart in this creature, still known only as Goggalor.","Але наш шляхетний, добровільний флот не прогнеться під жагою до хаосу, що просочується з чорної серцеподібної пухлини цієї істоти, яку ми досі звемо Окулярозавром."
"LOAE003CO","Coach","Though it loathes violence in all its forms, the Navy has no choice but to activate its Anti-Monster Turrets, which it guarantees are 100% monster proof.","Хоч наш флот і не прихильник насильства, але в нього не залишається вибору, крім як розгорнути ПРОТИМОНСТРЯНІ ТУРЕЛІ, які гарантують 100% летальність."
"LOAE004CO","Coach","(Do not get caught stealing children.)","(Не попадіться, викрадаючи дітей.)"
"LOZJ003TO","System","Famous Child Star Hates Goggalor","Відома дитяча зірка ненавидить Окулярозавра"
"LOAF001CO","Coach","We're here with the star of the popular sitcom, ""Trouble in the Bubble,"" Buddy Finn. ","Сьогодні з нами зірка популярного ситкому «Бульбашка не без грішка», Бадді Фінн."
"LOAF002CO","Coach","Buddy, what's your take on the Goggalor situation? Is he just misunderstood? ","Скажіть нам, Бадді, що ви думаєте про Окулярозавра? Може ми його просто не зрозуміли?"
"LOAF003CO","Coach","No way! I hate Goggalor! I can't imagine any one of my fans siding with the monster. He hates everything Lungfish care about--","Та куди, ні! Терпіти не можу Окулярозавра! Не можу навіть уявити, щоб хтось із моїх фанатів був на його боці. Він ненавидить усе, про що ми дбаємо..."
"LOAF004CO","Coach","Air, water, family, the economy...","Повітря, воду, сім'ю, економіку..."
"LOAF005CO","Coach","Buddy, you'll be happy to know that the Navy has decided to pull out what they're most famous for: ","Бадді, у нас для вас хороші новини. Флот вирішив пустити в дію те, чим він найбільше славиться:"
"LOAF006CO","Coach","AIRPLANES.","ЛІТАКИ."
"LOAF007CO","Coach","So, rest assured, we can all look forward to Goggalor's imminent death, and to seeing you, Buddy, every Thursday night at eight, right here on LBC!","Тому вмощуємося зручніше й дивимося на Окулярозаврину смерть. А також на ваше обличчя, Бадді, кожного четвергового вечора, о восьмій, тут, на ДТБ!"
"LOAF008CO","Coach","Thanks, and I'd just like to add that if anyone kidnaps a human child they should take them quickly under the lake to the abandoned insane asylum.","Дякую, дякую. Від себе лише додам, що якщо хтось планує викрадати дітей, обов'язково несіть їх через озеро в закинуту психлікарню."
"LOZJ004TO","System","The End is Nigh","Кінець близько"
"LOAG001CO","Coach","Well, we're sorry to report that the miserable and incompetent Lungfish Navy is all but sunk.","З прикрістю повідомляємо, що наш жалюгідний та некомпетентний флот пішов на дно."
"LOAG002CO","Coach","Great work, losers!","Молодці, невдахи!"
"LOAG003CO","Coach","Now Kochamara himself will have to come all the way down here just to save our worthless hides. ","Самому Теромарі доведеться зійти з небес на землю, щоб урятувати наші нікчемні луски."
"LOAG004CO","Coach","Authorities are calling for a big parade in Kochamara's honor after he clobbers the annoying giant Goggalor, and if the parade is big enough, Kochamara promises NOT to destroy the city.","Влада вже планує парад на честь Теромари, коли він уриє цього клятого Окулярозавра. І якщо парад буде достатньо урочистим, Теромара обіцяє НЕ знищувати місто."
"LOAG005CO","Coach","(Brush teeth more often. Don't drool so much.)","(Частіше чистьте зуби. І не плюйтеся.)"
"LOAH000Z1","Zealots-1","Goggalor, what are you doing down here?",""
"LOAH001RA","Raz","I'm trying to get to that Kochamara Tower thing so I can smash it.",""
"LOAH002Z1","Zealots-1","The laser tunnel, Goggalor. We have to get through that or we'll never get to Kochamara Island!",""
"LOAH003RA","Raz","But I thought--",""
"LOAH004Z1","Zealots-1","There is no ""I"" in team, Goggalor!",""
"LOAH005RA","Raz","Yeah, but there's an ""I"" in ""squish"" so watch it.",""
"LOAH006RA","Raz","I'll go take out your laser tunnel, but then we're going to talk about who's running this revolution.",""
"LOAI000Z1","Zealots-1","Goggalor! Another jail to smash! Take it out and free the prisoners, Goggalor!","Окулярозавре! Треба знести ще одну в'язницю! Звільни наших полонених, Окулярозавре!"
"LOAI002Z4","Zealots-4","So this big monster, is that the best you could do?","І це все, на що ти здатен, велетню?"
"LOAI003Z1","Zealots-1","We were short on time, and he is good at smashing things!","Часу в нас не було, а громити все на шляху він вміє добре!"
"LOAI004Z4","Zealots-4","Doesn't look like much to me. Come on, let's blow this joint.","Ну таке, нічого цікавого. Піду розкочегарю апарат."
"LOAI005RA","Raz","Hey, you're welcome!","Гей, і тобі того ж!"
"LOAI006Z1","Zealots-1","Sorry about him, Goggalor. He's been in prison a long time.","Вибач за нього, Окулярозавре. Схоже, він занадто довго сидів."
"LOAI007Z1","Zealots-1","He's the only pilot the resistance has, and he has an excellent plan! ","Але іншого пілота в руху опору нема, а в нього ще й чудовий план на руках!"
"LOAI008Z1","Zealots-1","Meet us at the dam so we can put it into action!","Зустрінемося біля дамби й втілимо його в життя!"
"LOAI009Z1","Zealots-1","Ha! Now you see the genius of our plan, Goggalor!","Ха! Бачиш, який у нас геніальний план, Окулярозавре!"
"LOAI010Z4","Zealots-4","First, we print flyers. Then we spread them all over town with my blimp!","Спочатку ми надрукуємо листівки. Потім розкинемо їх по всьому місту з дирижабля."
"LOAI011Z1","Zealots-1","Winning over the hearts and minds of Lungfishopolis in as soon as six months.","Так ми зможемо завоювати серця та розуми мешканців не менше, ніж через шість місяців."
"LOAI012RA","Raz","Six months?","Шість місяців?"
"LOAI013Z4","Zealots-4","You don't like our plan, you can come up with another one!","Якщо не подобається наш план, то придумай свій!"
"LOAI014Z1","Zealots-1","Yes, we are busy! We have to select card stock, and then find a decent, but inexpensive printer within the week.","Ага, бо ми зайняті! Нам треба підібрати якісний папір, а також знайти пристойний, але недорогий принтер. І все це за тиждень."
"LOAI015Z4","Zealots-4","Hey, what are you doing up there?","Гей, якого дідька ти там робиш?"
"LOAI016Z4","Zealots-4","Ow!","Ай!"
"LOAI017Z4","Zealots-4","Hey!","Гей!"
"LOAI018Z1","Zealots-1","Careful! My chai tea!","Обережно! У мене тут індійський чай!"
"LOAI019Z4","Zealots-4","Quit it!","Годі!"
"LOAI020Z4","Zealots-4","Knock it off!","Припиняй!"
"LOAI021Z4","Zealots-4","We don't have a replacement blimp, you know!","Другого дирижаблю в нас нема, якщо що!"
"LOAI022RA","Raz","Have you come up with a better plan than the pamphlets yet?","Ну як, вигадав план краще нашого з флаєрами?"
"LOAI023Z4","Zealots-4","Yes, it's called ""Turn in Goggalor for Reward Money.""","Так, він називається «здати Окулярозавра за грошову винагороду.»"
"LOAI024RA","Raz","Hey, you guys still in there? It's Goggalor!","Гей, ви там, хлопці? Це я, Окулярозавр!"
"LOAI025Z4","Zealots-4","Oh, this guy. Just ignore him. He'll go away. ","Ой, знову цей. Забий на нього. Він скоро піде."
"LOZN000Z1","Zealots-1","The thing is that, uh, although we have the utmost faith that you will soon contain the area, Goggalor… we... uh…",""
"LOAJ000CO","Coach","Give up while you can, Goggalor!","Здавайся, поки можеш, Окулярозавре!"
"LOAJ001RA","Raz","I know it's you in there, Coach! I don't know where you're broadcasting from, but I'm going to find out and make you show me what happened to Lili.","Я знаю, що це ви, тренере! Звідки б ви не віщали, я знайду вас і ви покажете, що сталося з Лілі. Відвертітися не вийде."
"LOAJ002CO","Coach","Kochamara does not speak giant monster boy language.","Теромара не розуміє, що верзе це гігантське хлопчисько."
"LOAJ003RA","Raz","The only word you're going to need is ""Ouch.""","Усе, що ти маєш казати — це «Ай»."
"LOAJ004CO","Coach","Miiiiiiiiiiightyyyyyyyyyyyyy... ","Мо-о-о-огу-у-у-утні-і-і-ій..."
"LOAJ005CO","Coach","RAM!","РИВОК!"
"LOAJ006CO","Coach","Deeeeeeaaaadlyyyyyyyyy...","Сме-е-ер-те-е-ель-ни-ий..."
"LOAJ007CO","Coach","TRIANGLE BEAM!","ПРОМІНЬ!"
"LOAJ008CO","Coach","Hmm. So Sasha's showed you how to save up your aggressive energy, huh?","Гм-м. То Саша показав тобі, як накопичувати та вивільняти агресивну енергію?"
"LOAJ009CO","Coach","Well, why don't I help you…","Що ж, дозволь допомогти..."
"LOAJ010CO","Coach","Let it all out!","Вивільняй!"
"LOAJ011CO","Coach","Bwah ha ha!","Пха-ха-ха!"
"LOAJ012CO","Coach","Whaddya going to do now, eh?","І що тепер робитимеш, а?"
"LOAJ013CO","Coach","Oh no! No ammo!","О ні! Скінчилися заряди!"
"LOAJ014CO","Coach","I'm lost without my ammo!","Без зарядів я — ніхто!"
"LOAJ015CO","Coach","I'm nothing without my cheater PSI Blast!","Без мого шахрайського псипострілу я нічо не можу!"
"LOAJ016CO","Coach","Oh, Sasha, Sasha. Come help me.","Ой, Сашо, Сашо. Врятуй мене."
"LOAJ017CO","Coach","I have no defenses of my own!","Сам я не вмію захищатись!"
"LOAJ018CO","Coach","Miiiiightyyy Raaaaam...","Мо-огутні-ій ри-иво-ок..."
"LOAJ019CO","Coach","GROUND VERSION!","ПІША ВЕРСІЯ!"
"LOAJ020CO","Coach","Speeeeee-deeeeeee...",""
"LOAJ021CO","Coach","KICK!",""
"LOAJ022CO","Coach","Ooooverrrrrlyyyyy Innnnn-triiiiii-cate…","Ме-е-ег-а-а-а-за-ум-на-а-а..."
"LOAJ023CO","Coach","COMBINATION!","КОМБІНАЦІЯ!"
"LOAJ024CO","Coach","Haaaarrrrrrd tooooo aaaaavoooid…",""
"LOAJ025CO","Coach","...aaaaavoooid...",""
"LOAJ026CO","Coach","AREA ATTACK!",""
"LOAJ027CO","Coach","Woooooo-hoooooo!",""
"LOAJ028CO","Coach","MMmm-hmmm.",""
"LOAJ029CO","Coach","Feel the burn!",""
"LOAJ030CO","Coach","Ha!","Ха!"
"LOAJ031CO","Coach","Huhhh!",""
"LOAJ032CO","Coach","Hup!",""
"LOAJ033CO","Coach","Hyaaa!","Кі-я!"
"LOAJ034CO","Coach","Hap!",""
"LOAJ035CO","Coach","Hop!",""
"LOAJ036CO","Coach","Hayooo!",""
"LOAJ037CO","Coach","Waaaaaaah!",""
"LOAJ038CO","Coach","And this!",""
"LOAJ039CO","Coach","And that!",""
"LOAJ040CO","Coach","And backwards!",""
"LOAJ041CO","Coach","And faked you out!",""
"LOAJ042CO","Coach","Ha ha!",""
"LOAJ043CO","Coach","Ho ho!",""
"LOAJ044CO","Coach","Heh heh heh!",""
"LOAJ045CO","Coach","Ahhh!","А-ах!"
"LOAJ046CO","Coach","Oooff!","У-уф!"
"LOAJ047CO","Coach","Gahhh!",""
"LOAJ048CO","Coach","(electrocution sounds)","(звуки ураження струмом)"
"LOAJ049CO","Coach","Grrr!",""
"LOAJ050RA","Raz","Give up Coach. I'm sure the Psychonauts are on their way from HQ right now to bust you.",""
"LOAJ051CO","Coach","Sorry, but I was made senior facility officer this year, and the senior facility officer has notified HQ that everything is peachy at Camp Whispering Rock!",""
"LOAK000CO","Coach","People of Lungfishopolis...",""
"LOAK001CO","Coach","...I'm sorry I let you down.",""
"LOAK002CO","Coach","Ggggghhh..",""
"LOAK003RA","Raz","Finally!",""
"LOAK004RA","Raz","Okay, tower. Get ready for Goggalor!",""
"LOAK005Z1","Zealots-1","Goggalor, you did it! You defeated Kochamara!",""
"LOAK006RA","Raz","Yep. Now we can find out where Lili went.",""
"LOAK007Z1","Zealots-1","Not yet. The tower is still broadcasting its mind control over the populace!",""
"LOAK008Z1","Zealots-1","You must destroy the tower!",""
"LOAK009RA","Raz","Right. Man, Goggalor needs a sidekick or a PA or something.",""
"LOAK010Z1","Zealots-1","Goggalor! The tower!",""
"LOAK011RA","Raz","Oh! Yeah! Right.",""
"LOAL000RA","Raz","Well, he was evil. But he did build a lot of roads.",""
"LOAM000Z1","Zealots-1","Goggalor! ",""
"LOAM001RA","Raz","Hey, shouldn't this place be much quieter now that Kochamara's gone?",""
"LOAM002Z1","Zealots-1","Well, there's still some crazy Navy guys who haven't realized that the war is over. But--we got 'em on the run I think.",""
"LOAM003Z1","Zealots-1","Got some really aggressive flyers at the printer right now. Should sway popular opinion our way in no time.",""
"LOAM004RA","Raz","So you don't mind if I smash up some more tanks and planes and stuff?",""
"LOAM005Z1","Zealots-1","Goggalor, you may smash it all! This whole area is scheduled for reforestation. ",""
"LOAM006Z1","Zealots-1","Kochamara built this city for us. Lungfish weren't meant to live in cities!",""
"LOAM007RA","Raz","Well, okay then. I'll bet I can save you a bit on the demolition costs.",""
"LOAM008Z1","Zealots-1","Yeah, go nuts! You can squish people too if you want. My family lives in a whole other town.",""
"LOZF000TO","System","{YButton} Pick up Tank.","Підібрати танк {YButton}"
"LOZE000TO","System","{YButton} Throw Tank.","Кинути танк {YButton}"
"LOUC001LC","Lungfish-Citizen","Hey everyone, here comes Kochamara!","Гей, народе, а ось і Теромара!"
"LOZF001TO","System","Use your PSYCHIC SHIELD to protect you from damage, and reflect SOME enemy attacks back at the attacker! NOTE: You will not be able to maintain a PSYCHIC SHIELD forever, and when this part of your mind is exhausted, you will need to wait a while before you use it again.","ПСИХІЧНИЙ ЩИТ здатен захистити вас від шкоди та відбити ДЕЯКІ ворожі атаки назад у нападника! ПРИМІТКА: Ви не зможете тримати ПСИХІЧНИЙ ЩИТ вічно. Коли ваш розум втомиться, доведеться почекати перед повторним використанням."
"LOZZ000TO","System","LUNGFISHOPOLIS LIVE",""
"LOAO000RA","Raz","Excellent. There it is.",""
