identifier,file,character,source,translation
ASAH007LF,GLOBAL_StringTable.csv,Linda,"Oh, Sam. You haven't changed at all!",
ASAH008LF,GLOBAL_StringTable.csv,Linda,Ah ha ha!,
FINI000CO,GLOBAL_StringTable.csv,Coach,"And so, that brings us to the end.",
FINI001CO,GLOBAL_StringTable.csv,Coach,"Where, as you can clearly see, the personal demons causing my negative behavior have all been eradicated, leaving me sane once again.",
FINI002CO,GLOBAL_StringTable.csv,Coach,"This is also corroborated in CAT scan number three, on page fifty-nine of your handouts.",
FINI003CO,GLOBAL_StringTable.csv,Coach,"On a personal note, I would just like to reiterate how extremely, extremely sorry I am for stealing all of your brains, and trying to take over the world.",
FINI004CO,GLOBAL_StringTable.csv,Coach,Mistakes have been made.,
FINI005CO,GLOBAL_StringTable.csv,Coach,"But this camp is all about education, and I know I, for one, learned plenty.",
FINI006CO,GLOBAL_StringTable.csv,Coach,"Thanks to that guy right there. Come on up here, Raz!",
FINI007FO,GLOBAL_StringTable.csv,Ford,"We endeavor to build strong minds here, with the power to lift things, to see things, to burn things.",
FINI008FO,GLOBAL_StringTable.csv,Ford,"But it's a special quality of your heart, not your mind, that truly makes a great Psychonaut.",
FINI009FO,GLOBAL_StringTable.csv,Ford,This young man has it.,
FINI010FO,GLOBAL_StringTable.csv,Ford,We did not give it to him. ,
FINI011FO,GLOBAL_StringTable.csv,Ford,"He got it from someone else, long before he came here.",
FINI012FO,GLOBAL_StringTable.csv,Ford,"But we CAN give him this, to honor his mind, his courage, and his heart.",
FINI013FO,GLOBAL_StringTable.csv,Ford,"Son, we do not normally ask this of someone so young, but it is obvious to us all that you are not average.",
FINI014FO,GLOBAL_StringTable.csv,Ford,"Will you join us, Razputin?",
FINI015FO,GLOBAL_StringTable.csv,Ford,Will you be... a Psychonaut?,
FINI016LI,GLOBAL_StringTable.csv,Lili,"Okay, let's be perfectly clear about this. That was the best summer of my whole entire life.",
FINI017RA,GLOBAL_StringTable.csv,Raz,"Hey, the summer's not over yet! We can hang out for a couple of weeks still.",
FINI018LI,GLOBAL_StringTable.csv,Lili,My family's out on the East Coast. Where's yours?,
FINI019RA,GLOBAL_StringTable.csv,Raz,They move around a lot.,
FINI020LI,GLOBAL_StringTable.csv,Lili,Hm...,
FINI021LI,GLOBAL_StringTable.csv,Lili,"Well, you'd better go. Your dad's waiting for you.",
FINI022RA,GLOBAL_StringTable.csv,Raz,"Um, well--",
FINI023LI,GLOBAL_StringTable.csv,Lili,Bye.,
FINI024SA,GLOBAL_StringTable.csv,Sasha,"Children, it's an emergency. There's been another kidnapping!",
FINI025CO,GLOBAL_StringTable.csv,Coach,I was here the whole time. You saw me.,
FINI026SA,GLOBAL_StringTable.csv,Sasha,"No, this time we know who it is, and that's what scares us.",
FINI027RA,GLOBAL_StringTable.csv,Raz,Who was kidnapped?,
FINI028MI,GLOBAL_StringTable.csv,Milla,"Truman Zanotto, the Grand Head of the Psychonauts.",
FINI029LI,GLOBAL_StringTable.csv,Lili,Dad?,
FINI030SA,GLOBAL_StringTable.csv,Sasha,"Sir, can you teleport this many of us back to headquarters?",
FINI031FO,GLOBAL_StringTable.csv,Ford,"Hey, what are you people doing in my kitchen? Now git!",
FINI032CO,GLOBAL_StringTable.csv,Coach,Guess we're taking the jet.,
FINI033MI,GLOBAL_StringTable.csv,Milla,"Don't worry about your dad, darling. We'll get him back.",
FINI034SA,GLOBAL_StringTable.csv,Sasha,"Yes, after all, we'll have Razputin helping us.",
FINI035RA,GLOBAL_StringTable.csv,Raz,I'm going?,
FINI036SA,GLOBAL_StringTable.csv,Sasha,Now how could we do this without our anti-kidnapping specialist?,
FINI039GD,GLOBAL_StringTable.csv,Augustus,"I've taught you everything I can, Son. ",
FINI040GD,GLOBAL_StringTable.csv,Augustus,Now you go show them. Show them all.,
FINI042RA,GLOBAL_StringTable.csv,Raz,Let's go.,
GLZH022TO,GLOBAL_StringTable.csv,System,No merit badges,
GLZG025TO,GLOBAL_StringTable.csv,System,Good news! You have enough PSI Cards /PsiCard/ to build a new PSI Challenge Marker! /Marker/ Just buy a PSI Core /PsiCore/ at the Camp Store and bring it to Ford Cruller /FordNinja/ so he can make you one!,
GLZG026TO,GLOBAL_StringTable.csv,System,"Congratulations! You found a loose PSI Card! [image of card] Collect nine of these and you can build a PSI Challenge Marker [image of marker] out of them, but you'll need to get a PSI Core [image of core] from the Camp Store, and a little help from Ford Cruller. [image of ninja Ford]",
GLZG027TO,GLOBAL_StringTable.csv,System,"You just found a PSI Challenge Marker! /Marker/ Every time you find one of these, your PSI Cadet Rank goes up! Rank up enough and you'll get more PSI powers!",
GLZH023TO,GLOBAL_StringTable.csv,System,...yet!,
GLRA000RA,GLOBAL_StringTable.csv,Raz,Hm. I'm not getting anything. I must be out of range or something.,
CAEM003BZ,GLOBAL_StringTable.csv,Bobby,Ah-ha-ha-ha!,
GLAA000RA,GLOBAL_StringTable.csv,Raz,"Man, these things smell terrible. Am I sure I want to do this?",
GLAA001RA,GLOBAL_StringTable.csv,Raz,"Yes, I want to go back to the real world that badly.",
GLAA002RA,GLOBAL_StringTable.csv,Raz,"No, I think I'll stay in this mind for a while longer.",
GLAA003RA,GLOBAL_StringTable.csv,Raz,"I don't want to crack open these Smelling Salts unless I'm in a mental world, and I REALLY want to get out. They smell pretty bad.",
GLZG028TO,GLOBAL_StringTable.csv,System,Your first figment!,
GLZG029TO,GLOBAL_StringTable.csv,System,"Collect 100 figment points and you'll be promoted! If you get promoted to a high enough rank, you will earn new Psychic Abilities!",
GLZG030TO,GLOBAL_StringTable.csv,System,You can look at all the figments you've collected in your JOURNAL /Journal/,
GLZG031TO,GLOBAL_StringTable.csv,System,"Your first Arrowhead! /Arrowhead/  Arrowheads are made of Psitanium, a rare psychoreactive mineral, which makes them very valuable. You can use Arrowheads to buy items at the camp store and other places you find.",
GLZB013TO,GLOBAL_StringTable.csv,System,Dream Fluff,
GLZB014TO,GLOBAL_StringTable.csv,System,PSI Core,
GLZB015TO,GLOBAL_StringTable.csv,System,Cobweb Duster,
GLZB016TO,GLOBAL_StringTable.csv,System,Dowsing Rod,
GLZB017TO,GLOBAL_StringTable.csv,System,PSI Energy Colorizer,
GLZH001TO,GLOBAL_StringTable.csv,System,Oleander's Pride,
GLZH002TO,GLOBAL_StringTable.csv,System,Oleander's Shame,
GLZH003TO,GLOBAL_StringTable.csv,System,Milla's Adventures!,
GLZH004TO,GLOBAL_StringTable.csv,System,Milla's Children,
GLZH005TO,GLOBAL_StringTable.csv,System,Sasha's First Loss,
GLZH006TO,GLOBAL_StringTable.csv,System,Sasha's Second Sight,
GLZH007TO,GLOBAL_StringTable.csv,System,Edgar's Lament,
GLZH008TO,GLOBAL_StringTable.csv,System,Edgar's Love,
GLZH009TO,GLOBAL_StringTable.csv,System,Boyd: Fired Again!,
GLZH010TO,GLOBAL_StringTable.csv,System,Boyd: Hired Again!,
GLZH011TO,GLOBAL_StringTable.csv,System,Gloria's Cruel Training,
GLZH012TO,GLOBAL_StringTable.csv,System,Gloria's Fallen Star,
GLZH013TO,GLOBAL_StringTable.csv,System,Lungfish and Loboto,
GLZH014TO,GLOBAL_StringTable.csv,System,Lungfishopolis Under Siege!,
GLZH015TO,GLOBAL_StringTable.csv,System,Razputin's Getaway,
GLZH016TO,GLOBAL_StringTable.csv,System,The World Shall Taste my Eggs!,
GLZH000TO,GLOBAL_StringTable.csv,System,Fred vs. Crispin,
GLZH017TO,GLOBAL_StringTable.csv,System,Fred vs. Napoleon,
GLZH018TO,GLOBAL_StringTable.csv,System,The Big Top,
GLRA044RA,GLOBAL_StringTable.csv,Raz,Ugh!,
GLGO000VE,GLOBAL_StringTable.csv,Vernon,Hee hee hee!,
GLGO007MH,GLOBAL_StringTable.csv,Mikhail,Ho ho ho.,
GLGO010CM,GLOBAL_StringTable.csv,Clem,HEE HEE HEE HEE HEE!,
GLGO012JT,GLOBAL_StringTable.csv,J.T.,Heh. Tarnation!,
GLGO013CP,GLOBAL_StringTable.csv,Chops,Ha ha ha.,
GLGO014CH,GLOBAL_StringTable.csv,Chloe,Hmm. Interesting sensation.,
GLGO015BZ,GLOBAL_StringTable.csv,Bobby,Ah! Ahhhhh!,
GLGO016BN,GLOBAL_StringTable.csv,Benny,"Hey, quit it!",
GLGO017EF,GLOBAL_StringTable.csv,Elton,Hee hee.,
GLGO020SA,GLOBAL_StringTable.csv,Sasha,"Razputin, please. Germs. ",
GLGO021SA,GLOBAL_StringTable.csv,Sasha,Uh... Germs...,
GLGO023MI,GLOBAL_StringTable.csv,Milla,Uh... heh... Heh heh,
GLGO024FO,GLOBAL_StringTable.csv,Ford,"Ooh, ha ha ha!",
GLGO025CO,GLOBAL_StringTable.csv,Coach,Heh. Knock it off.,
GLGO026GL,GLOBAL_StringTable.csv,Gloria,Ooooh hoo hoo!,
GLGO029CR,GLOBAL_StringTable.csv,Crispin,Woo hoo ha ha hahaha!,
GLGO031RA,GLOBAL_StringTable.csv,Raz,"Hey, can we talk about this friendship bracelet?",
GLGO032LI,GLOBAL_StringTable.csv,Lili,No. It's embarrassing enough that I made it. Just put it away and shut up.,
GLGO033RA,GLOBAL_StringTable.csv,Raz,Hm. I don't think I want to put this bracelet on just yet. I think Lili and I need to talk about our relationship first.,
GLGO034RA,GLOBAL_StringTable.csv,Raz,I don't want to show anyone this bracelet. People will think we're totally boyfriend-girlfriend.,
GLGO035RA,GLOBAL_StringTable.csv,Raz,I'd like you to meet Mr. Pokeylope.,
GLGO036RA,GLOBAL_StringTable.csv,Raz,"No, I can't mess around with Mr. Pokeylope. I've got to give him back to Sheegor right away!",
GLGO037RA,GLOBAL_StringTable.csv,Raz,"Don't worry, Mr. Pokeylope. I'll get you back to Sheegor right away.",
GLGO038RA,GLOBAL_StringTable.csv,Raz,This is that button Sasha gave me. It's a clue to the location of his secret lab.,
GLGO039RA,GLOBAL_StringTable.csv,Raz,"No, I don't want to lose this button. I might not get into Sasha's secret lab without it.",
GLGO040QU,GLOBAL_StringTable.csv,Quentin,"Hey, that's a pretty sweet sound there homey. Why don't you come jam with us some time?",
GLGO041PH,GLOBAL_StringTable.csv,Phoebe,Wooo! Lake whistle solo!,
GLGO042JT,GLOBAL_StringTable.csv,J.T.,Now that's the darndest harmonica I ever heard. That could be just the sound to take this band in the prog-rock direction I was hoping for.,
GLGO043CP,GLOBAL_StringTable.csv,Chops,Hmmm. A horn section might be just what we need.,
GLGO044LO,GLOBAL_StringTable.csv,Dr.Loboto,"Sheegor, please! Open a window if you're going to do that.",
GLGO045RA,GLOBAL_StringTable.csv,Raz,I think I have to be closer to the shore for Linda to hear it. ,
GLGO046RA,GLOBAL_StringTable.csv,Raz,I'm not going to wear my costume here. People will think I'm crazy!,
GLGO047RA,GLOBAL_StringTable.csv,Raz,"Man, I can see why Pokeylope loves this cake. It looks so moist and delicious.",
GLGO048RA,GLOBAL_StringTable.csv,Raz,Come on Mr. Pokeylope. Come and get your cake!,
GLGO049RA,GLOBAL_StringTable.csv,Raz,"Hey, would you mind if I just ate this cake myself?",
GLGO050RA,GLOBAL_StringTable.csv,Raz,"Hey, Sasha. Wake up! Cake!",
GLGO051RA,GLOBAL_StringTable.csv,Raz,"Come on, Brainless Milla. Time to blow out the candles!",
GLGO052RA,GLOBAL_StringTable.csv,Raz,"Hey, if I shoved this cake in your face right now, you wouldn't be able to do anything as revenge.",
GLGO053LI,GLOBAL_StringTable.csv,Lili,"Not right away, no. But a revenge that painful would take lots of planning anyway.",
GLGO054RA,GLOBAL_StringTable.csv,Raz,Hmmm. I'm not picking up anything. Must not be any deep arrowheads nearby.,
GLGO055RA,GLOBAL_StringTable.csv,Raz,Got it!,
GLGO056RA,GLOBAL_StringTable.csv,Raz,I can't wait to use Sasha's Psychic Portal Door and jump inside someone's head!,
GLGO057RA,GLOBAL_StringTable.csv,Raz,...for the good of the mission I mean.,
GLGO058RA,GLOBAL_StringTable.csv,Raz,No brain there to enter!,
GLZG024TO,GLOBAL_StringTable.csv,System,"In accordance with Section 3, Paragraph 1 of the ""Young Minds Protection Act,"" any device created for the purpose of invasive psychic procedure must have built-in safeguards which make its use upon anyone under the age of eighteen (18) impossible.",
GLGO060RA,GLOBAL_StringTable.csv,Raz,Darn.,
GLAB000RA,GLOBAL_StringTable.csv,Raz,Ohhh-oooh...,
GLAC000FO,GLOBAL_StringTable.csv,Ford,"Now don't pull that out while I'm physically near by, or I'm telling you I'm gonna eat it!",
GLAD000FO,GLOBAL_StringTable.csv,Ford,"Mmmmm, Bacon!",
GLAD001FO,GLOBAL_StringTable.csv,Ford,There's that smell again.,
GLAD002FO,GLOBAL_StringTable.csv,Ford,Deeeelicious.,
GLAD003FO,GLOBAL_StringTable.csv,Ford,"Hey, why don't you just take a little nibble of that and see if I can taste it too?",
GLAD004FO,GLOBAL_StringTable.csv,Ford,"Okay, what's the situation?",
GLAD005FO,GLOBAL_StringTable.csv,Ford,Ahem.,
GLAE000RA,GLOBAL_StringTable.csv,Raz,Agent Cruller. Do you have any advice on the current situation?,
GLAE001RA,GLOBAL_StringTable.csv,Raz,I need to regroup back at HQ.,
GLAE002FO,GLOBAL_StringTable.csv,Ford,Affirmative. Prepare for extraction.,
GLAE003FO,GLOBAL_StringTable.csv,Ford,Talk to me when you want me to put you back where you were.,
GLAE004FO,GLOBAL_StringTable.csv,Ford,"Now don't wander off too far or I'll forget, and you'll have to go back there yourself.",
GLAE005RA,GLOBAL_StringTable.csv,Raz,Need your analysis on a hostile.,
GLAE006FO,GLOBAL_StringTable.csv,Ford,What kind?,
GLAE007RA,GLOBAL_StringTable.csv,Raz,Can I change the color of my Levitation Ball?,
GLAE008FO,GLOBAL_StringTable.csv,Ford,"Like, say... to what?",
GLAE009RA,GLOBAL_StringTable.csv,Raz,Nothing more to report at this time.,
GLAE010FO,GLOBAL_StringTable.csv,Ford,Cruller out.,
GLAF000RA,GLOBAL_StringTable.csv,Raz,Have you ever seen a plant with eyes and teeth?,
GLAF001FO,GLOBAL_StringTable.csv,Ford,"Oh, yeah. The kind that's impervious to attack when it's curled up? Hate those.",
GLAF002FO,GLOBAL_StringTable.csv,Ford,"You gotta walk up just close enough to wake them up, and then PSI Blast 'em, real quick!",
GLAF003RA,GLOBAL_StringTable.csv,Raz,How do you fight censors?,
GLAF004FO,GLOBAL_StringTable.csv,Ford,"Ah, anything works on those guys. You can punch 'em, PSI Blast 'em...",
GLAF005FO,GLOBAL_StringTable.csv,Ford,It's fun to set fire to them or confuse 'em too. Heh heh heh.,
GLAF006FO,GLOBAL_StringTable.csv,Ford,Pick 'em up with TK and throw 'em. Make yourself invisible and sneak up on them.,
GLAF007FO,GLOBAL_StringTable.csv,Ford,"Lotsa fun, those guys.",
GLAF008RA,GLOBAL_StringTable.csv,Raz,What about those censors that shoot stuff?,
GLAF009FO,GLOBAL_StringTable.csv,Ford,"Oh, you gotta grab those guys with your Mental Focus Lock, then you can jump left or right to avoid their shots, while PSI Blasting them from a distance.",
GLAF010RA,GLOBAL_StringTable.csv,Raz,"What about the really big, burly censors?",
GLAF011FO,GLOBAL_StringTable.csv,Ford,"It's best if they can't see you, so go invisible when they come around.",
GLAF012FO,GLOBAL_StringTable.csv,Ford,"Or burn them, or hit them with a confusion grenade if you're going for entertainment value.",
GLAF013RA,GLOBAL_StringTable.csv,Raz,"What if there's, like, a million, tiny censors. All over you?",
GLAF014FO,GLOBAL_StringTable.csv,Ford,"Ah, the Palm Bomb! Just jump up in the air and then punch!",
GLAF015FO,GLOBAL_StringTable.csv,Ford,You'll come down so hard those little guys just pop like popcorn!,
GLAF016RA,GLOBAL_StringTable.csv,Raz,Have you ever been grabbed by a sucker fish?,
GLAF017FO,GLOBAL_StringTable.csv,Ford,"Oh, they can give you a nasty hickey. But if you jump twice and spin, you might be able to shake them off a little quicker.",
GLAF018RA,GLOBAL_StringTable.csv,Raz,The crayfish in the lake are bigger than what we got back home.,
GLAF019FO,GLOBAL_StringTable.csv,Ford,That's the Psitanium in the water. Makes a lot of the animals around here a little different.,
GLAF020FO,GLOBAL_StringTable.csv,Ford,At least those crayfish are fun to punch!,
GLAF021RA,GLOBAL_StringTable.csv,Raz,Have you ever been confused by a rat?,
GLAF022FO,GLOBAL_StringTable.csv,Ford,"All the time, until I figured out that if you firestart them, they don't set off a cloud of confusion.",
GLAF023RA,GLOBAL_StringTable.csv,Raz,"In Lungfishopolis, I'm really big, but there are these tanks...",
GLAF024FO,GLOBAL_StringTable.csv,Ford,Do what any self-respecting monster would do!,
GLAF025FO,GLOBAL_StringTable.csv,Ford,Pick 'em up! Throw them at something! Boom!,
GLAF026FO,GLOBAL_StringTable.csv,Ford,"Ha! But if you're surrounded, don't forget your shield. And try to time it right.",
GLAF027RA,GLOBAL_StringTable.csv,Raz,"Airplanes can be a pain, can't they?",
GLAF028FO,GLOBAL_StringTable.csv,Ford,"Well you gotta shield until you see an opening, and then PSI Blast 'em out of the sky!",
GLAF029RA,GLOBAL_StringTable.csv,Raz,Were you watching those Electro Trucks?,
GLAF030FO,GLOBAL_StringTable.csv,Ford,"Yeah, RUN AWAY. That's my advice there. PSI Blast them from a distance, or run around the side of them and smack them with your monster claw.",
GLAF031RA,GLOBAL_StringTable.csv,Raz,What about a really big turret with shots you couldn't dodge?,
GLAF032FO,GLOBAL_StringTable.csv,Ford,"Shield! After your enemy takes a shot, advance. When you see them about to shoot again, shield up! Get real close that way, and you can take any shot you want.",
GLAF033RA,GLOBAL_StringTable.csv,Raz,Did you know that this camp has a bear problem? ,
GLAF034FO,GLOBAL_StringTable.csv,Ford,"Oh, not just any bears, but bears that have been mutated by Psitanium.",
GLAF035FO,GLOBAL_StringTable.csv,Ford,Now they know Telekinesis!,
GLAF036FO,GLOBAL_StringTable.csv,Ford,When you see that TK claw come out you have to dodge it quick.,
GLAF037FO,GLOBAL_StringTable.csv,Ford,"And PSI Blast those bears from a distance, or set their tails on fire.",
GLAF038RA,GLOBAL_StringTable.csv,Raz,What do you do when you hear a cougar?,
GLAF039FO,GLOBAL_StringTable.csv,Ford,"Go invisible quick. Those mutant PSI cougars can firestart at quite a distance, but they can't burn what they can't see.",
GLAF040FO,GLOBAL_StringTable.csv,Ford,"And also, if you pick them up with TK you can actually distract them for a little bit, and use that to your advantage.",
GLAF041RA,GLOBAL_StringTable.csv,Raz,What about those creepy guys who pull you under ground?,
GLAF042FO,GLOBAL_StringTable.csv,Ford,"Oh, be careful with people's nightmares, son.",
GLAF043FO,GLOBAL_StringTable.csv,Ford,They'll pull you into their nightmare world and never let go.,
GLAF044FO,GLOBAL_StringTable.csv,Ford,You gotta feed them some of their own medicine. ,
GLAF045FO,GLOBAL_StringTable.csv,Ford,Avoid their grab attacks and try to hurt them to the point that they split open.,
