identifier,labels,context,source,translation
NIAB011RA,NIAB,Raz,"Probably, hidden on, like, the bottom.",
NIAB014RA,NIAB,Raz,"Man, I am so smart.",
NIAC004RA,NIAC,Raz,Uh-oh.,
NIAC006RA,NIAC,Raz,"No, I'll figure it out.",
NIAC008SA,NIAC,Sasha,"Razputin, tell me what is happening.",
NIAC009RA,NIAC,Raz,"Well, I'm kind of stuck in a little, white space.",
NIAC010SA,NIAC,Sasha,Hm. How little?,
NIAC011RA,NIAC,Raz,Really little.,
NIAC013SA,NIAC,Sasha,Do you feel trapped?,
NIAC014RA,NIAC,Raz,No...,
NIAC015SA,NIAC,Sasha,Confined?,
NIAC016RA,NIAC,Raz,No.,
NIAC017SA,NIAC,Sasha,Smothered like you're buried alive?,
NIAC018RA,NIAC,Raz,NO! Aaack! Get me out of here.,
NIAC019SA,NIAC,Sasha,Can you find your way out?,
NIAC020RA,NIAC,Raz,I can't see anything.,
NIAC022SA,NIAC,Sasha,Can you fight your way out?,
NIAC023RA,NIAC,Raz,Huh?,
NIAC025SA,NIAC,Sasha,"Strike out with your psychic fist, Razputin, but carefully.",
NIAC028SA,NIAC,Sasha,"Punch your way out, Razputin!",
NIAC029SA,NIAC,Sasha,Now! Hurry!,
NIAC030SA,NIAC,Sasha,This test is costing the taxpayers a lot of money!,
NIAC032RA,NIAC,Raz,Ah-ha!,
NIAC034SA,NIAC,Sasha,Keep punching Razputin!,
NIAD002RA,NIAD,Raz,"Don't worry, Dogen. I'm coming up there to save you!",
NIAD003SA,NIAD,Sasha,"What is wrong, Razputin?",
NIAD004RA,NIAD,Raz,"No time to explain, Sasha. I gotta climb this spooky thorn tower.",
NIAD006RA,NIAD,Raz,Argh! There's no way to get any higher!,
NIAD007SA,NIAD,Sasha,You must use your Levitation power.,
NIAD008RA,NIAD,Raz,I don't know how to levitate...,
NIAA000RA,NIAA,Raz,"Okay, what the hell was that???",
NIAA001RA,NIAA,Raz,"I'm seeing some crazy stuff in here, Sasha. This can't be right.",
NIAA002SA,NIAA,Sasha,Ach.  Why did I buy the CHEAP Brain Tumbler?,
NIAE000RA,NIAE,Raz,"Hey, where'd it go? Don't tell me I imagined that whole thing?",
NIAF000RA,NIAF,Raz,You are my own creation! I command you to stop!,
NIAF001RA,NIAF,Raz,"Dang, does that EVER work?",
NIAG000RA,NIAG,Raz,"Soft, gelatinous underbelly, here I come.",
NIAG001RA,NIAG,Raz,Ahh! Confusion... grenade...,
NIAG002RA,NIAG,Raz,so... dizzy... who... am I?,
NIAG003RA,NIAG,Raz,Ah! Target lock! ,
NIAG004RA,NIAG,Raz,Gotta hide behind something!,
NIZF000TO,NIZF,System,Press /YButton/ to open the hatch.,
NIZZ000TO,NIZZ,System,ALL MINE,
